t,x1,y1,x2,y2,x3,y3,x4,y4
8553600,1060291.096,984183.4321,-2.249248357e+10,1.465668725e+11,-1.022781235e+11,3.36772911e+10,1.39407478e+11,1.787176233e+11
8640000,1070843.469,1007885.63,-2.50555338e+10,1.461533122e+11,-1.032262587e+11,3.078865349e+10,1.377438355e+11,1.799856348e+11
8726400,1081176.5,1031785.871,-2.761096852e+10,1.456953311e+11,-1.04092554e+11,2.787560721e+10,1.360684682e+11,1.81238326e+11
8812800,1091286.36,1055878.053,-3.015801158e+10,1.451930712e+11,-1.048764155e+11,2.494048666e+10,1.343815164e+11,1.824755872e+11
8899200,1101169.393,1080156,-3.269588954e+10,1.446466883e+11,-1.055773167e+11,2.198563863e+10,1.326831219e+11,1.836973104e+11
8985600,1110822.117,1104613.47,-3.522383192e+10,1.440563519e+11,-1.061947984e+11,1.901342035e+10,1.30973427e+11,1.849033886e+11
9072000,1120241.222,1129244.158,-3.774107148e+10,1.434222451e+11,-1.067284693e+11,1.60261975e+10,1.292525754e+11,1.860937164e+11
9158400,1129423.578,1154041.703,-4.024684445e+10,1.427445647e+11,-1.071780054e+11,1.302634225e+10,1.275207118e+11,1.872681893e+11
9244800,1138366.227,1178999.689,-4.274039077e+10,1.420235212e+11,-1.075431502e+11,1.00162313e+10,1.257779816e+11,1.884267046e+11
9331200,1147066.389,1204111.657,-4.522095436e+10,1.412593381e+11,-1.078237149e+11,6998243959,1.240245315e+11,1.895691604e+11
9417600,1155521.462,1229371.103,-4.768778335e+10,1.404522526e+11,-1.080195778e+11,3974760221,1.22260509e+11,1.906954566e+11
9504000,1163729.02,1254771.486,-5.014013031e+10,1.396025153e+11,-1.081306841e+11,948158849.3,1.204860625e+11,1.918054943e+11
9590400,1171686.815,1280306.233,-5.257725254e+10,1.387103897e+11,-1.08157046e+11,-2079184499,1.187013416e+11,1.928991757e+11
9676800,1179392.774,1305968.742,-5.499841225e+10,1.377761527e+11,-1.080987421e+11,-5104899146,1.169064965e+11,1.939764048e+11
9763200,1186845.003,1331752.391,-5.740287684e+10,1.368000939e+11,-1.07955917e+11,-8126621232,1.151016787e+11,1.950370866e+11
9849600,1194041.785,1357650.537,-5.978991913e+10,1.357825161e+11,-1.07728781e+11,-1.114199554e+10,1.132870403e+11,1.960811277e+11
